Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,TS%,USG%,DBPM,G
Nik Stauskas,PHI,679,7.9,0.389,5.5,0.547,4,0.759,0.4,4.2,3.7,0.8,0.8,3,3.1,18.2,0.602,16.1,-1.1,
Rajon Rondo,CHI,681,2.8,0.316,11.6,0.41,1.8,0.542,1.6,8.8,11.2,2.2,0.4,4.5,4,13.1,0.433,16.8,1.8,
Terrence Jones,NOP,684,3.5,0.224,13.8,0.534,6,0.607,2.1,9.8,2.1,1.6,2.1,2.1,2.7,20.7,0.52,19.9,1.5,
Pau Gasol,SAS,685,2.5,0.455,16.9,0.509,4.3,0.596,2.8,12.5,5.4,0.8,2.2,2.4,3,23,0.544,21.1,2.7,
Clint Capela,HOU,686,0,,16.9,0.64,4.6,0.446,4.7,11.3,1.9,0.8,3.1,2.6,5.4,23.7,0.625,18.9,1.6,
Robert Covington,PHI,691,10.4,0.299,6.2,0.442,3.1,0.791,2.4,7.1,2.1,2.9,1.2,3.1,4.7,17.2,0.48,18.7,1.3,
Brook Lopez,BRK,691,8.7,0.346,16.4,0.513,8.9,0.831,3.1,5.7,4.2,1,3,3.5,3.8,33.2,0.573,29.1,-0.3,
Rodney McGruder,MIA,691,5.4,0.315,5.8,0.456,2.1,0.724,3.2,4.2,2.7,1.4,0.6,1.6,4.1,12,0.492,11.9,0.8,
Kyle Korver,ATL,693,8.3,0.412,4.4,0.524,1.3,0.895,0.1,4.2,3.6,1.4,0.5,2.4,2.9,16.1,0.604,14,-0.3,
Jonas Valanciunas,TOR,695,0,,17,0.541,5.2,0.831,5.9,11.6,1.5,0.9,1.3,2.9,4.9,22.6,0.588,19.5,-0.5,
Matthew Dellavedova,MIL,705,5.3,0.36,8.5,0.413,1.7,0.833,0.7,3.7,10.1,1.4,0,3.4,3.5,14.2,0.487,16,-2,
Tony Snell,MIL,705,8.8,0.296,4.4,0.613,1.3,0.778,0.8,6.2,2,0.6,0.1,1.1,2.9,14.2,0.516,13.2,-1.2,
P.J. Tucker,PHO,705,4.3,0.286,6.1,0.433,2.9,0.721,2.7,7.1,2,2,0.5,1.6,4.2,11,0.474,11.6,1,
Jameer Nelson,DEN,706,6.2,0.367,9.6,0.482,1.5,0.727,0.8,4.1,8.1,1.2,0.1,3.7,5.7,17.2,0.522,17.3,-2,
Sergio Rodriguez,PHI,706,7.5,0.355,9.2,0.412,0.6,0.875,0.8,4.8,11.8,1.8,0.3,4.6,2.8,16.1,0.474,19.3,-1.6,
Jamal Crawford,LAC,710,7.8,0.333,12.6,0.461,4.7,0.881,0.3,2.7,4.2,1.2,0.2,2.6,2.3,23.6,0.524,22.4,-2.1,
Trevor Booker,BRK,713,1.7,0.231,11.7,0.559,3.4,0.667,3.6,11.3,4,3,0.8,3.1,3.8,16.6,0.554,16.2,2.6,
Derrick Rose,NYK,713,2.4,0.235,20.7,0.481,5.6,0.838,1.9,4.4,7.1,1.1,0.7,3.9,2.5,26.2,0.515,25.5,-1.8,
Nikola Vucevic,ORL,714,1.6,0.273,21.8,0.448,3.3,0.617,4.9,15.1,4.6,1.4,1.6,2.3,3.8,22.9,0.461,24.1,2.2,
Marco Belinelli,CHO,716,7.7,0.45,9.3,0.47,3.3,0.875,0.4,4.8,3.5,1.2,0.3,1.5,2.8,22,0.597,17.9,-0.9,
Ersan Ilyasova,TOT,721,9.6,0.357,10.4,0.543,3.9,0.807,1.9,9.9,2.8,1,0.4,2.4,4.1,24.8,0.569,21.5,-1.3,
Bojan Bogdanovic,BRK,722,8.5,0.346,11,0.53,6.3,0.844,0.9,4.9,2.5,0.7,0.1,2.4,3.1,25.8,0.579,22,-3.5,
Sean Kilpatrick,BRK,722,7.7,0.356,12.4,0.481,8.2,0.833,0.8,6.9,4.5,1.2,0.2,4.4,3.5,27,0.57,25.2,-2.3,
Evan Turner,POR,723,3.4,0.294,13.2,0.456,3.4,0.863,1.1,6.8,5.9,1.6,0.5,2.4,3.4,18,0.497,18.4,-1.1,
Tristan Thompson,CLE,727,0.1,0,7.8,0.593,4.5,0.462,5.7,11.5,1.4,0.8,2.1,1,3.8,11.3,0.575,9.6,2.5,
J.J. Redick,LAC,731,10.3,0.424,10.4,0.493,4.9,0.903,0.1,3.2,1.6,1.2,0.3,2.7,2.6,27.7,0.608,22.7,-2.3,
Taj Gibson,CHI,732,0.1,0,17.7,0.543,3.8,0.673,4,9.3,2.6,1,1.9,2.9,4.5,21.8,0.56,19.1,1.2,
Marcus Smart,BOS,732,7.2,0.274,8.5,0.448,3.6,0.654,1.6,5.4,7,1.9,0.5,3.2,3.6,15.9,0.459,18.3,0.3,
Rodney Hood,UTA,733,10.4,0.361,12.7,0.494,4.5,0.79,0.5,6.5,3.5,1.3,0.4,2.1,4.1,27.3,0.546,24.5,-1,
Bismack Biyombo,ORL,736,0,,8.5,0.488,7.2,0.49,4.6,11.4,2.4,0.6,2.8,2.8,5,11.8,0.507,12.7,3,
Wilson Chandler,DEN,740,7.5,0.354,16.1,0.488,4.4,0.746,2.5,8.7,2.8,1.3,0.3,2.4,3.7,26.9,0.528,23.9,-1.6,
Robin Lopez,CHI,740,0.1,0,16.6,0.469,2.3,0.667,6.8,6.8,1.4,0.2,3.4,1.6,3.1,17.1,0.484,16.5,1.2,
Paul George,IND,743,8.7,0.394,15.3,0.481,5.8,0.92,1.4,8.3,4.4,2.6,0.5,4,3.8,30.3,0.571,27.5,0,
Gordon Hayward,UTA,746,7.6,0.364,16.5,0.479,10.5,0.872,0.8,8.6,5.7,1.6,0.6,3.3,2.7,33.3,0.579,29,0.4,
Solomon Hill,NOP,747,4.4,0.328,4.5,0.412,2.9,0.818,0.8,5.9,3.5,1.6,0.8,1.8,4.4,10.3,0.512,10.8,1.6,
Jon Leuer,DET,750,5,0.301,11.3,0.594,3.2,0.872,2.7,9.5,3.2,0.9,0.8,1.7,3.6,20.7,0.586,17.1,1.5,
Monta Ellis,IND,753,3.3,0.3,10,0.477,3.3,0.84,0.2,5,5.8,1.8,0.8,3.7,3.7,15.2,0.518,16.5,0.3,
Dwyane Wade,CHI,753,5,0.333,21,0.47,8.4,0.8,1.9,4.9,5.8,2.4,1.1,3.7,3.3,31.5,0.529,28.6,0,
Lou Williams,LAL,753,10.3,0.371,15,0.496,11.9,0.865,0.5,4.2,6.4,2.7,0.3,4.4,2.1,36.6,0.6,30.4,-2.7,
Aaron Gordon,ORL,755,6,0.311,12.9,0.477,3.8,0.579,2.2,6.2,3.4,1.5,1,2,3.9,20.2,0.489,20.1,-0.1,
Andrew Harrison,MEM,757,5.6,0.232,7.6,0.324,6.1,0.764,0.7,3.7,6.7,2.3,1.1,3.3,6.7,13.4,0.424,16.7,1.6,
Dwight Howard,ATL,758,0,,14.8,0.632,9.4,0.524,7.8,14,2,1.6,2.4,4.2,5.3,23.7,0.624,20.5,2.3,
Courtney Lee,NYK,761,5.1,0.474,9,0.442,1.4,0.864,0.9,3.8,3.1,1.4,0.4,1.2,3.5,16.4,0.558,13.8,-1.1,
Isaiah Thomas,BOS,762,9.9,0.34,18.5,0.48,12.7,0.887,0.9,3.1,9.1,1.3,0.2,3.4,3.4,39.1,0.576,33.2,-3.4,
LaMarcus Aldridge,SAS,765,1.5,0.455,20.4,0.471,6.4,0.833,3.1,7.7,2.9,1.2,1.7,2.7,3.7,26.6,0.537,24.6,0.7,
Michael Kidd-Gilchrist,CHO,769,0.4,0.167,12.4,0.453,5.5,0.744,3,8.4,2,1.4,1.6,1.5,3.5,15.5,0.511,15,2.2,
Rudy Gay,SAC,771,5.4,0.349,16.6,0.49,7.1,0.844,1.3,8,4.5,2.4,1,3.3,3.8,28,0.556,25.1,0.8,
Emmanuel Mudiay,DEN,771,6,0.305,14.3,0.398,6,0.779,0.9,5.8,6.2,1.3,0.5,4.8,3.2,21.6,0.47,23.8,-1,
Kevin Love,CLE,772,9.9,0.412,13.7,0.509,9.7,0.86,3.9,12.7,2.7,1.7,0.7,3.2,2.9,34.5,0.619,27.4,-0.5,
Julius Randle,LAL,773,1.1,0.176,16.6,0.523,6.1,0.68,3.3,11.5,5.7,1.3,0.6,4.9,5.7,22.1,0.542,22,0.7,
Patrick Patterson,TOR,774,7.9,0.364,4.2,0.391,2,0.71,2.1,8.1,3.1,1.7,0.6,1.1,4.3,13.3,0.513,12.4,0.8,
Luol Deng,LAL,779,5.5,0.33,9.4,0.417,2.2,0.657,2.2,7.9,2.7,2.1,0.3,1.4,2.1,14.7,0.464,15.1,-0.2,
Goran Dragic,MIA,779,5.4,0.41,17.6,0.472,6.7,0.806,1.3,4.8,10.2,1.6,0.3,4.8,4.3,28.8,0.552,26.8,-0.8,
Kyrie Irving,CLE,787,8.5,0.425,18.5,0.507,5.8,0.87,1.1,3.5,7.3,1,0.3,3.6,2.8,34.7,0.586,29.3,-2.5,
Myles Turner,IND,788,2.6,0.366,15.1,0.566,6.9,0.802,2.7,9.4,1.7,1.4,3.9,2.4,5.3,25.5,0.615,20.8,2.4,
Paul Millsap,ATL,790,4.7,0.329,15.5,0.504,6.5,0.752,2.2,9.7,5.5,2.5,1.4,3.3,3.9,25.1,0.545,23.4,2.7,
Markieff Morris,WAS,790,3.3,0.327,14.7,0.444,5.7,0.8,2.1,6.9,3,2,1,3.1,4.8,20.8,0.508,20.8,0.1,
Ish Smith,DET,792,2.4,0.243,15.6,0.444,2.7,0.756,0.6,4.9,11,1.5,0.6,2.6,3.2,17.6,0.459,19.2,0.4,
Allen Crabbe,POR,797,6.4,0.41,7,0.461,3.2,0.868,0.7,4.8,2.2,0.9,0.4,1.5,3.9,17.2,0.577,14.6,-2.4,
Mason Plumlee,POR,798,0.1,0,14.3,0.545,5.9,0.51,3.4,9.1,7.7,1.6,2,2.9,4.9,18.5,0.546,17.8,1.8,
Tyler Johnson,MIA,802,5.6,0.352,12.5,0.437,5.6,0.75,1.1,6.5,5.2,1.9,1.1,2,3.5,21.1,0.511,19.7,1,
Bradley Beal,WAS,807,9.9,0.416,14.4,0.494,7.1,0.809,0.9,3.2,4.9,1.4,0.4,2.3,3.1,32.3,0.589,26.3,-3.2,
Steven Adams,OKC,808,0.1,0,13.1,0.588,5.4,0.742,4.7,7.6,1.2,2.1,1.4,3.3,3.8,19.3,0.625,16.4,1.2,
Brandon Ingram,LAL,812,4.1,0.275,10,0.377,4.1,0.71,1.1,6.1,3.6,0.9,0.8,2.6,3.1,13.9,0.436,16.1,-0.8,
Jabari Parker,MIL,812,4.8,0.367,19.3,0.51,6.6,0.738,2.5,6.1,3.3,1.8,0.3,2.2,2.7,29.8,0.552,26,-1.3,
Dennis Schroder,ATL,816,5.9,0.374,16.7,0.486,4.9,0.793,0.8,4.1,10.1,1.3,0.4,5.1,2.6,26.7,0.54,26.5,-1.8,
Gorgui Dieng,MIN,822,0.8,0.308,12.3,0.535,3.6,0.724,4,8.6,3.6,1.4,2,2.9,5.4,16.4,0.562,15.2,1.8,
Victor Oladipo,OKC,822,8,0.381,11.9,0.505,3,0.62,0.7,5.7,3.9,1.3,0.4,2.5,2.6,22.9,0.542,20.7,-0.9,
Elfrid Payton,ORL,826,3.9,0.238,14.2,0.504,4,0.591,1.3,5.3,10,2.1,1.1,3.4,3.5,19.5,0.491,20.6,0.4,
Danilo Gallinari,DEN,830,6.9,0.368,9.2,0.439,8.7,0.872,0.8,5.6,3,0.9,0.4,2.1,2.2,23.3,0.584,18.9,-1.4,
Andre Drummond,DET,838,0.1,1,19.8,0.533,6.9,0.451,6.6,16.9,2,2.7,1.8,3.4,4.7,24.4,0.532,23.2,3.4,
LeBron James,CLE,847,6.2,0.352,18,0.574,9.8,0.687,1.6,8.7,12.3,1.9,0.7,5.4,2.4,33.9,0.595,29.9,1.8,
Andre Roberson,OKC,847,4.3,0.297,5.5,0.579,2.1,0.306,1.4,5.6,1.7,2,1.6,1,4.1,10.8,0.506,10.2,2.4,
Thaddeus Young,IND,853,3.3,0.448,11.5,0.56,1.9,0.545,2.4,7.4,2.2,1.8,0.9,2.5,2.5,18.4,0.587,16.4,0.7,
Tim Frazier,NOP,856,4,0.386,10.3,0.448,4.3,0.827,1,4.7,11.9,1.8,0.3,3.9,4.4,17.4,0.537,18.2,-1,
Jordan Clarkson,LAL,857,6.3,0.315,16.1,0.482,3.8,0.836,1.4,3.6,3.7,2.3,0.1,3.5,3.1,24.7,0.512,24,-2.1,
Ryan Anderson,HOU,858,10.6,0.4,7.2,0.429,3.1,0.873,2.9,6,1.6,0.7,0.2,1.5,2.8,21.6,0.564,18.1,-2.2,
Eric Gordon,HOU,860,13.5,0.441,8.2,0.448,3.6,0.81,0.6,3.6,4.4,1.1,0.8,3,3.3,28,0.604,22.9,-2.3,
Devin Booker,PHO,862,7.3,0.326,16.9,0.448,6,0.806,0.7,3.1,4.2,1.3,0.4,3.9,4.4,27.1,0.505,27.1,-2.7,
JaMychal Green,MEM,865,3.1,0.288,9.7,0.494,4.1,0.797,3.9,9.8,2.1,1.4,1.1,2.3,6.4,15.5,0.532,14.8,2.6,
Giannis Antetokounmpo,MIL,867,3.6,0.274,19.5,0.569,9.5,0.765,2.6,10.4,8.6,3,2.8,4.7,5.4,32.4,0.595,28.4,5,
John Wall,WAS,868,5,0.364,20.9,0.478,9.2,0.807,1.3,4.8,13.3,3.2,0.8,6.1,3.2,32.9,0.549,31.9,0.3,
Maurice Harkless,POR,870,6,0.364,10.2,0.564,2.1,0.816,2.9,5.1,1.3,1.9,1.1,2,4.4,19.8,0.578,17.1,-1.1,
Eric Bledsoe,PHO,872,6.6,0.298,16.1,0.503,8.5,0.832,1.4,6.7,7.9,2.3,0.5,4.5,4.1,29.1,0.552,27.2,0.1,
Blake Griffin,LAC,875,1.3,0.227,23.2,0.494,10.2,0.749,3,10.1,7,1.5,0.7,3.6,3.9,31.4,0.543,29,2,
Serge Ibaka,ORL,876,5.6,0.402,14.7,0.516,3.4,0.828,2.7,8.3,1.6,0.9,3,1.8,4,24.7,0.567,20.9,0.7,
Draymond Green,GSW,886,5.1,0.34,7.8,0.476,4,0.662,2.7,10.1,10.7,3.2,2,2.9,4.3,15.3,0.521,15.7,4.8,
Jeff Teague,IND,887,4.7,0.306,13.3,0.467,8,0.828,0.7,5.5,10.9,2.9,0.8,4,3.8,23.4,0.543,23,0.4,
Carmelo Anthony,NYK,889,8.3,0.336,18.6,0.471,7.5,0.866,1.2,7.5,4.1,1.5,0.6,2.8,4.2,32.4,0.536,28.6,-2,
DeAndre Jordan,LAC,890,0.1,0,10.6,0.661,8.1,0.542,5.5,14.9,1.1,1,2.8,2.4,4.3,18.4,0.647,14.7,2.6,
Chris Paul,LAC,895,8,0.396,11.7,0.502,7.1,0.874,1.1,6.8,14.9,3.6,0.3,3.6,4,27.5,0.601,23.6,1.7,
Otto Porter,WAS,897,5,0.407,9.8,0.602,1.9,0.765,2.6,7.7,2.2,2.6,0.7,1.2,4,19.4,0.619,14.9,0.9,
Kemba Walker,CHO,897,9.6,0.414,16.2,0.491,7.1,0.791,0.7,5,8,2.1,0.4,3.2,2.2,33.5,0.579,28.9,-0.7,
DeMarcus Cousins,SAC,898,6.7,0.358,24.8,0.476,13.8,0.756,3.3,12.3,4.9,1.7,2.1,4.2,5.5,41.3,0.549,36.8,1.5,
Kawhi Leonard,SAS,898,7.3,0.388,18.9,0.505,10.1,0.921,1.8,7.2,4.6,3,0.8,2.7,2.2,36.9,0.601,29.9,0.8,
Marc Gasol,MEM,911,5.6,0.414,19,0.454,6.6,0.819,1.4,8.3,6.2,1.4,2.3,3.1,3.3,29.6,0.538,26.7,3.1,
Rudy Gobert,UTA,912,0,,9.8,0.694,9.3,0.677,5.1,13.7,1.4,1,4.4,2.7,5.3,20,0.716,15.1,4.4,
Karl-Anthony Towns,MIN,920,5.6,0.34,19.7,0.513,7.2,0.779,4.8,10.9,3.3,1,2,3.5,4.4,31.5,0.553,27.8,-0.3,
Marcin Gortat,WAS,923,0.1,0,11.9,0.568,3.2,0.61,4.7,11.7,2.3,0.8,1.6,2.1,4.7,15.4,0.579,13.6,1.4,
Stephen Curry,GSW,927,13.6,0.403,10.9,0.564,7.6,0.932,1,5.3,8.5,2.3,0.3,4.1,3.6,35.8,0.643,28.6,-1.3,
Wesley Matthews,DAL,929,12,0.392,7.6,0.393,3.9,0.826,0.3,4.3,3.1,2,0.2,2.4,3.3,23.3,0.546,21.4,-0.7,
Nicolas Batum,CHO,931,7.8,0.333,9.3,0.417,5.2,0.794,0.9,9.9,7.8,1.7,0.5,3.5,2.5,19.7,0.507,20.6,1.8,
Trevor Ariza,HOU,934,10.9,0.377,4.5,0.57,1.7,0.727,1.1,6.3,2.8,3,0.4,1.3,2.3,18.7,0.579,15.3,1.1,
Marcus Morris,DET,934,7.1,0.364,12.7,0.487,2.3,0.829,1.2,5.4,2.9,1.3,0.5,1.8,3,22,0.529,20,0.6,
Kentavious Caldwell-Pope,DET,935,8.5,0.387,11.2,0.431,3.8,0.826,1.5,4.1,4.7,1.8,0.2,1.8,2.7,22.7,0.53,20.5,0.4,
Kristaps Porzingis,NYK,935,7.7,0.384,15.6,0.485,6.2,0.786,2.7,8.2,1.9,1,2.5,2.1,5.4,28.9,0.555,24.4,-0.8,
Hassan Whiteside,MIA,935,0,,20.8,0.543,8.1,0.527,6.4,16.3,1,1.1,3.5,3.1,5,26.9,0.551,23.9,1.3,
Klay Thompson,GSW,941,11.1,0.372,13.6,0.556,3.7,0.889,0.9,4,3.1,0.9,0.5,2.6,2.9,30.7,0.585,25.8,-2.9,
Jimmy Butler,CHI,944,4.7,0.345,18.7,0.48,13.3,0.887,2.3,7.1,5.9,2.4,0.5,2.9,2.5,34.5,0.592,27.4,0.4,
Zach LaVine,MIN,949,8.9,0.375,12.7,0.542,4.4,0.854,0.5,3.6,4.3,1.1,0.3,2.7,3,27.5,0.585,22.7,-3.2,
Russell Westbrook,OKC,949,7.6,0.327,25.5,0.452,14.4,0.814,2.9,11.7,15.3,1.9,0.5,7.8,3.4,42.2,0.535,41.3,4.5,
Avery Bradley,BOS,951,7.4,0.426,14.3,0.507,2.2,0.756,1.7,8.9,3.6,1.6,0.3,2.6,3.7,25.6,0.565,22.6,-0.1,
Andrew Wiggins,MIN,954,5.1,0.381,19.1,0.449,9.3,0.761,1.6,4.2,3.3,0.8,0.5,3.4,3,30.1,0.531,27.6,-3.3,
Evan Fournier,ORL,955,7.7,0.363,13,0.5,6.3,0.849,0.8,3.6,5.3,1.6,0.1,3.2,4.2,26.8,0.569,23.7,-2,
DeMar DeRozan,TOR,956,2.4,0.289,27.3,0.506,12.8,0.851,1.3,6.2,5.9,1.7,0.1,3.8,2.6,40.6,0.574,34.5,-1.8,
Tobias Harris,DET,958,5.5,0.33,15.1,0.53,4,0.892,0.9,6.7,2.7,1.1,0.9,2.2,2.8,25,0.559,21.6,0.7,
Kevin Durant,GSW,961,6.6,0.409,16.9,0.589,9.4,0.862,0.9,10.9,6.5,1.7,2.3,3.1,2.9,36,0.653,27.4,2.2,
Harrison Barnes,DAL,987,4.3,0.338,21.1,0.485,5.1,0.853,2.3,5.8,1.9,1.3,0.3,2,2.3,29.1,0.527,26.7,-1.6,
C.J. McCollum,POR,989,8.1,0.455,16.3,0.489,4.8,0.908,1.2,4,5.2,1.4,0.8,3.1,4,31.5,0.592,26.5,-2.8,
Kyle Lowry,TOR,1002,9.9,0.449,10.3,0.458,7.2,0.853,1.3,5.1,10.1,1.9,0.4,3.9,3.9,28.9,0.619,24,-1,
Anthony Davis,NOP,1011,2.8,0.276,24.9,0.518,13,0.813,2.4,11.9,2.9,2,3.6,3.3,2.8,38.6,0.578,33.2,2.7,
James Harden,HOU,1030,11.4,0.356,13,0.513,13.7,0.836,1.7,9,15.8,2,0.4,7.4,3.5,36.9,0.607,33.1,1.4,
Damian Lillard,POR,1030,9.9,0.368,16.4,0.52,10.9,0.895,0.8,5.4,8,1.2,0.4,3.7,3.5,37.7,0.607,31.1,-3.2,
