Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,TS%,USG%,DBPM,G
Zaza Pachulia,GSW,420,0,,9.2,0.494,3.7,0.75,5.6,9.8,6.3,2.3,1.4,3.9,5.7,11.9,0.547,13.2,3.4,
Jrue Holiday,NOP,421,7,0.317,14.4,0.484,4.8,0.659,1.2,4.9,9.8,1.9,0.8,4.1,4.6,23.7,0.505,24.9,-0.5,
Meyers Leonard,POR,421,10,0.326,6.5,0.446,1.4,1,1,9,2.4,0.3,1.2,2,7.4,16.9,0.496,17,-2.6,
James Ennis,MEM,425,5,0.341,6.9,0.509,4.9,0.8,2.9,6.6,2.3,1.6,0.2,1.8,6,16,0.571,13.9,1.2,
Jarell Martin,MEM,425,2.7,0.364,12.3,0.396,5.1,0.786,3.6,11.1,0.7,1.2,1,2.8,7.9,16.6,0.484,17.5,-0.1,
Al Jefferson,IND,429,0.1,0,23.7,0.464,4.2,0.676,4.1,10.2,2.8,0.8,1,1.5,6.2,24.9,0.484,24.5,-1.6,
D'Angelo Russell,LAL,434,11.9,0.387,12.6,0.407,5.8,0.769,1,5.3,8.5,2.4,0.6,5.7,4,28.5,0.527,28.6,-1.8,
Marreese Speights,LAC,434,9.8,0.329,12.9,0.518,7.5,0.846,4.6,11.7,2.2,1,1.4,2,9.3,29.3,0.565,24.8,-1.2,
T.J. Warren,PHO,435,2.8,0.308,19.5,0.483,4.8,0.818,3,3.4,1.4,2.7,0.5,1.4,4.2,25.4,0.519,22.8,-1.2,
Joel Embiid,PHI,436,5.9,0.442,21.2,0.478,12.6,0.748,4.1,11.2,3.8,1.4,5.1,7.4,6.7,37.6,0.575,35.7,3.2,
Kelly Olynyk,BOS,437,7.3,0.344,8.2,0.528,3.8,0.758,1.6,8.6,4,2.2,0.7,3,6.1,19.1,0.555,18,0.8,
Omer Asik,NOP,444,0,,6.8,0.5,4.1,0.568,4.7,12.1,1.5,0.6,1,1.3,4.4,9.1,0.53,9,1.1,
Raymond Felton,LAC,444,4.6,0.439,9.2,0.427,1.3,0.833,0.9,4,3.9,2,0.9,2,4.4,15,0.522,14.6,0.9,
Manu Ginobili,SAS,444,8.5,0.378,9,0.385,4.1,0.889,0.9,5.4,6.7,3.5,0.7,4,4,20.3,0.524,20.9,1.3,
Malcolm Delaney,ATL,447,3.9,0.194,12.2,0.446,4.6,0.881,0.4,4.6,8.7,1.1,0.1,4.4,4.8,17.2,0.475,19.9,-2,
Richard Jefferson,CLE,447,5.7,0.353,5.1,0.543,1.8,0.688,0.8,5.7,2.5,0.9,0.3,1.5,4,12.8,0.553,11.5,-0.2,
Kelly Oubre,WAS,448,5.9,0.302,7.8,0.543,3.8,0.765,1.8,7.7,1.6,2,0.1,1.4,5.4,16.7,0.544,14.8,-1.3,
Marcus Thornton,WAS,448,7,0.349,11.8,0.415,2.8,0.92,2.1,4.7,3.2,1.8,0.2,2,3.8,19.7,0.492,19.4,-2,
Justin Hamilton,BRK,449,7.7,0.342,5.4,0.549,1.7,0.688,2.3,6.7,1.9,1.5,1.1,1.7,3.6,14.9,0.542,13.9,-0.5,
Kris Dunn,MIN,450,2.5,0.273,9.5,0.412,3.7,0.636,1.2,5.3,7.5,3.1,0.8,3.7,6.4,12.2,0.448,15,0.6,
Marquese Chriss,PHO,461,5.4,0.308,11.9,0.47,4.6,0.644,2.7,6.9,1.3,1.4,1.4,3.4,8.2,19.1,0.495,20,-0.9,
Greg Monroe,MIL,463,0,,18.7,0.5,6.6,0.852,4.8,12.5,6,3.3,1.2,3.8,4.5,24.3,0.563,22.6,3.6,
Will Barton,DEN,465,5.7,0.37,12.6,0.442,6.4,0.721,1.9,5.8,3.7,1.5,0.8,3.1,3,22,0.523,20.8,-0.5,
John Henson,MIL,467,0.1,0,14.2,0.504,5.4,0.706,4.1,9.9,2.7,1.2,4.1,2.6,6.2,18.1,0.543,17.1,3.7,
Aron Baynes,DET,469,0,,11.3,0.437,4.7,0.884,3.7,10.3,1.1,1.1,1.2,3.1,6.8,14,0.525,14.5,1.5,
Danny Green,SAS,469,8.3,0.434,2.7,0.56,1.3,0.75,0.3,5.2,4.1,1.4,1.3,1.6,3.7,14.8,0.64,11.8,1.1,
Shaun Livingston,GSW,469,0.1,0,10.5,0.592,2.5,0.542,1.2,4.5,4.8,1.1,0.4,2,4,13.8,0.589,12.3,-0.3,
Ramon Sessions,CHO,470,3.8,0.306,11.6,0.409,7.7,0.712,0.6,3.8,8.8,1.8,0.3,2.7,3,18.5,0.491,19.3,-1.4,
David Lee,SAS,471,0,,13.7,0.563,4.9,0.733,4.6,10.6,4.4,1.2,1.1,2.6,4.8,19,0.6,16.5,1.9,
Jonas Jerebko,BOS,472,5.3,0.38,6.6,0.532,1.2,0.818,2.5,7.2,2.3,1.7,0.6,1.5,5,14,0.565,12.4,0.5,
Tony Parker,SAS,480,2.1,0.35,16.1,0.47,3.4,0.875,0.6,3.1,9.3,0.9,0.1,3.2,3.7,20.3,0.516,20.5,-2.4,
Hollis Thompson,PHI,481,6.7,0.369,7.8,0.461,2.1,0.65,1.5,6.1,2.2,1.3,0.6,0.9,4.6,16,0.517,14.6,-0.7,
Jerami Grant,OKC,483,3.3,0.394,8,0.506,5.4,0.528,0.9,5.4,1.1,1.5,2.2,1.3,5,14.9,0.543,13.1,1.1,
C.J. Miles,IND,483,11.5,0.425,7.9,0.5,3.2,0.935,0.7,5.9,1.7,1.7,1.2,1,3.9,25.6,0.613,19.6,-1.5,
