Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV-,PF-,PTS,TS%,USG%,DBPM
Lou Williams,LAL,753,92,71,78,56,97,82,8,15,79,93,15,9,100,97,87,97,6
Julius Randle,LAL,773,18,18,85,69,78,27,77,92,74,34,39,5,18,68,54,74,65
Brandon Ingram,LAL,812,35,29,40,4,55,32,35,47,51,12,49,52,82,16,4,30,36
Jordan Clarkson,LAL,857,58,43,82,47,50,75,46,7,54,83,4,23,82,77,36,82,12
Troy Daniels,MEM,375,98,64,26,4,32,67,32,0,26,6,15,82,57,73,31,73,4
Tony Allen,MEM,599,18,19,82,49,59,23,85,44,14,98,59,44,33,52,31,55,94
Andrew Harrison,MEM,757,51,22,21,1,78,51,14,9,80,83,63,29,9,14,3,35,81
JaMychal Green,MEM,865,28,32,37,54,55,60,81,82,20,41,63,64,12,26,48,24,91
Marc Gasol,MEM,911,51,85,93,29,82,69,46,71,77,41,89,37,77,90,53,90,95
Luke Babbitt,MIA,314,89,42,2,3,4,33,19,34,10,34,9,93,60,12,6,17,27
Justise Winslow,MIA,405,33,22,76,5,56,14,56,26,71,89,31,52,38,31,2,63,72
Dion Waiters,MIA,509,56,56,87,9,62,21,14,26,78,49,59,23,52,71,8,85,42
Goran Dragic,MIA,779,48,84,89,40,83,63,43,26,94,54,15,5,47,88,61,90,36
Hassan Whiteside,MIA,935,0,0,96,78,91,7,96,99,2,23,96,37,33,83,61,82,76
John Henson,MIL,467,7,0,73,60,71,31,83,84,34,28,98,52,14,43,55,40,98
Matthew Dellavedova,MIL,705,47,64,28,14,10,72,14,9,93,41,0,26,74,18,19,29,14
Tony Snell,MIL,705,83,35,3,96,6,54,19,49,17,2,4,97,87,18,38,12,27
Jabari Parker,MIL,812,42,68,93,65,82,40,67,47,46,64,15,67,92,90,61,87,25
Giannis Antetokounmpo,MIL,867,32,28,93,87,95,51,68,87,89,95,93,6,23,93,85,93,99
Ricky Rubio,MIN,655,32,24,10,21,56,67,61,21,95,86,9,37,49,5,28,8,40
Gorgui Dieng,MIN,822,17,40,59,74,45,37,82,74,51,41,84,42,23,31,68,26,83
Karl-Anthony Towns,MIN,920,51,54,94,65,86,55,89,89,46,17,84,23,44,92,63,93,46
Zach LaVine,MIN,949,84,73,63,77,59,79,8,7,62,23,15,48,85,85,80,77,2
Andrew Wiggins,MIN,954,45,75,93,27,94,50,51,15,46,7,31,26,85,90,47,93,1
Jrue Holiday,NOP,421,65,44,75,48,65,23,39,29,93,68,49,11,40,74,32,86,42
Terrence Jones,NOP,684,31,20,71,73,76,14,61,82,20,54,85,70,92,61,40,63,79
Solomon Hill,NOP,747,39,49,4,13,31,67,19,46,50,54,49,79,44,2,36,3,81
Tim Frazier,NOP,856,35,76,43,26,57,70,32,25,98,64,15,15,44,38,51,48,31
Anthony Davis,NOP,1011,25,29,99,67,98,65,65,94,38,73,96,29,90,98,77,98,92
Joakim Noah,NYK,487,7,0,37,41,47,1,97,90,77,49,82,44,16,2,7,6,95
Derrick Rose,NYK,713,23,23,95,46,73,75,58,20,82,23,44,15,96,82,37,87,18
Courtney Lee,NYK,761,45,96,32,23,7,81,26,11,42,41,25,96,74,31,66,16,29
Carmelo Anthony,NYK,889,78,53,91,39,89,82,39,64,59,49,39,44,49,93,50,93,14
Kristaps Porzingis,NYK,935,71,76,81,48,79,56,69,70,16,17,91,70,23,88,64,84,36
Enes Kanter,OKC,515,21,16,96,92,93,60,92,81,14,23,87,26,28,94,88,89,31
Steven Adams,OKC,808,7,0,65,92,71,41,88,65,4,77,75,29,64,52,94,33,75
Victor Oladipo,OKC,822,75,75,56,61,32,16,14,42,56,34,25,57,94,72,54,68,34
Andre Roberson,OKC,847,37,35,9,91,15,1,46,40,13,73,78,99,52,3,33,2,89
Russell Westbrook,OKC,949,70,48,99,28,100,66,72,93,99,68,31,0,75,100,50,100,98
Bismack Biyombo,ORL,736,0,0,28,50,86,4,86,92,29,2,93,44,33,7,33,9,94
Aaron Gordon,ORL,755,54,42,64,42,50,11,62,49,48,49,59,74,60,59,21,64,51
Elfrid Payton,ORL,826,34,23,73,60,53,12,43,36,93,77,63,26,74,55,22,67,59
Serge Ibaka,ORL,876,51,81,77,67,42,70,69,71,11,12,94,79,57,77,71,70,65
Evan Fournier,ORL,955,71,65,65,57,79,78,19,7,71,54,4,32,49,83,72,81,14
Joel Embiid,PHI,436,54,93,97,43,98,43,83,91,55,41,100,1,9,98,75,99,95
Gerald Henderson,PHI,637,37,75,53,54,37,62,32,20,46,54,15,76,57,49,59,38,36
Ersan Ilyasova,PHI,659,88,68,49,75,57,64,58,82,40,7,25,64,52,81,75,75,24
Robert Covington,PHI,691,93,36,12,23,35,59,65,60,20,94,69,37,38,36,16,53,76
Sergio Rodriguez,PHI,706,70,61,33,13,1,85,19,26,97,64,15,6,90,30,13,59,20
T.J. Warren,PHO,435,25,40,93,47,65,67,73,6,8,93,31,91,49,80,40,78,27
Tyson Chandler,PHO,528,0,0,22,99,35,31,94,98,1,41,49,48,25,12,99,2,63
Jared Dudley,PHO,628,65,95,7,75,25,15,39,51,51,49,31,48,21,34,95,20,53
Devin Booker,PHO,862,68,47,87,26,76,63,14,3,60,34,25,15,44,85,32,91,6
Eric Bledsoe,PHO,872,61,36,82,60,92,72,46,55,86,83,31,7,52,89,61,91,55
